Source,Label,Target,Weight
A6M,A6M,S2I,0.00090588
A6M,A6M,AuRTM,0
A6M,A6M,AuRTL,0
A6M,A6M,OPAl,0
A6M,A6M,LIP,0
A6M,A6M,MIP,0
A6M,A6M,AuA1,0
A6M,A6M,S2PR,0.000128396
A6M,A6M,V1,0
A6M,A6M,PGa-IPa,0
A6M,A6M,V2,0
A6M,A6M,V6A,0.000195771
A6M,A6M,V4,0
A6M,A6M,A6Vb,0.005470953
A6M,A6M,A6Va,0.02226557
A6M,A6M,TPPro,0
A6M,A6M,A23a,0.012972478
A6M,A6M,A23b,0.008984267
A6M,A6M,A23c,0.002847764
A6M,A6M,TPO,0
A6M,A6M,A13b,0
A6M,A6M,A13a,0
A6M,A6M,TF,0
A6M,A6M,GI,0.000510502
A6M,A6M,A25,0
A6M,A6M,AuAL,0
A6M,A6M,Gu,0.00017325
A6M,A6M,A13M,8.66E-05
A6M,A6M,A13L,0.005698493
A6M,A6M,A23V,0
A6M,A6M,TPt,0
A6M,A6M,Pir,0
A6M,A6M,A29d,0.000340296
A6M,A6M,A19M,0
A6M,A6M,A4c,0.004345014
A6M,A6M,APir,0
A6M,A6M,TPro,0
A6M,A6M,Ent,0
A6M,A6M,VIP,0.000102754
A6M,A6M,ReI,8.66E-05
A6M,A6M,PF,0.000838201
A6M,A6M,PG,0.000247279
A6M,A6M,PE,0.031039748
A6M,A6M,A47O,0
A6M,A6M,A47L,0.000606376
A6M,A6M,A47M,0.000433125
A6M,A6M,OPt,0
A6M,A6M,A32,0
A6M,A6M,A45,0
A6M,A6M,AuCPB,0
A6M,A6M,A8aV,0.011426123
A6M,A6M,A4ab,0.143070524
A6M,A6M,A8aD,0.013903912
A6M,A6M,V4T,0
A6M,A6M,S2PV,0.00037594
A6M,A6M,AuML,0
A6M,A6M,AuRPB,0
A6M,A6M,ProSt,0
A6M,A6M,V3A,0
A6M,A6M,FST,0
A6M,A6M,PEC,0.00100476
A6M,A6M,A14C,0
A6M,A6M,A31,0.013991905
A6M,A6M,A30,0.001302908
A6M,A6M,A36,0
A6M,A6M,A35,0
A6M,A6M,TEO,0
A6M,A6M,A14R,0
A6M,A6M,ProM,0.002802871
A6M,A6M,AuR,0
A6M,A6M,A29a-c,0.000420529
A6M,A6M,V6,0
A6M,A6M,A6DR,0.092364985
A6M,A6M,A6DC,0.161641557
A6M,A6M,TE1,0
A6M,A6M,TE2,0
A6M,A6M,TE3,0
A6M,A6M,TLO,0
A6M,A6M,A8b,0.14621477
A6M,A6M,PFG,0.002629917
A6M,A6M,A46V,0.000904939
A6M,A6M,A3b,0.001005025
A6M,A6M,A3a,0.006817595
A6M,A6M,A46D,0
A6M,A6M,DI,0.000144525
A6M,A6M,MST,0
A6M,A6M,AIP,0
A6M,A6M,A24a,0.000350033
A6M,A6M,A24c,0.132301356
A6M,A6M,A24b,0.037414097
A6M,A6M,A24d,0.110906677
A6M,A6M,A19DI,0
A6M,A6M,A11,0.000195771
A6M,A6M,A10,0
A6M,A6M,S2E,0.004250086
A6M,A6M,PGM,0
A6M,A6M,A8C,0.009924419
A6M,A6M,TL,0
A6M,A6M,V3,0
A6M,A6M,A32V,0
A6M,A6M,V5,0
A6M,A6M,TH,0
A6M,A6M,A9,8.66E-05
A6M,A6M,AuRT,0
A6M,A6M,A1-2,0.006227011
A6M,A6M,AI,4.18E-05
A6M,A6M,IPro,0
A6M,A6M,STR,0
A6M,A6M,AuRM,0
A6M,A6M,TFO,0
A6M,A6M,OPro,0
A6M,A6M,PaIL,0
A6M,A6M,PaIM,0
A6M,A6M,AuCM,0
A6M,A6M,AuCL,0
LIP,LIP,S2I,0
LIP,LIP,AuRTM,0
LIP,LIP,AuRTL,0
LIP,LIP,OPAl,0
LIP,LIP,A6M,0
LIP,LIP,MIP,0.0597619
LIP,LIP,AuA1,0.001173709
LIP,LIP,S2PR,0
LIP,LIP,V1,8.85E-05
LIP,LIP,PGa-IPa,0.000354108
LIP,LIP,V2,0.025104653
LIP,LIP,V6A,0.000354108
LIP,LIP,V4,0.04211886
LIP,LIP,A6Vb,0
LIP,LIP,A6Va,0
LIP,LIP,TPPro,0
LIP,LIP,A23a,0.02573016
LIP,LIP,A23b,0.00143929
LIP,LIP,A23c,0
LIP,LIP,TPO,0.001173709
LIP,LIP,A13b,0
LIP,LIP,A13a,0
LIP,LIP,TF,8.85E-05
LIP,LIP,GI,0
LIP,LIP,A25,0
LIP,LIP,AuAL,0
LIP,LIP,Gu,0
LIP,LIP,A13M,0
LIP,LIP,A13L,0
LIP,LIP,A23V,0.049152802
LIP,LIP,TPt,0.001173709
LIP,LIP,Pir,0
LIP,LIP,A29d,0.024596351
LIP,LIP,A19M,0.015563696
LIP,LIP,A4c,0
LIP,LIP,APir,0
LIP,LIP,TPro,0
LIP,LIP,Ent,0
LIP,LIP,VIP,0.024907649
LIP,LIP,ReI,0
LIP,LIP,PF,0
LIP,LIP,PG,0.113072557
LIP,LIP,PE,0.002435945
LIP,LIP,A47O,0
LIP,LIP,A47L,0.000619688
LIP,LIP,A47M,0
LIP,LIP,OPt,0.172154504
LIP,LIP,A32,0
LIP,LIP,A45,0
LIP,LIP,AuCPB,0.004694836
LIP,LIP,A8aV,0.001770538
LIP,LIP,A4ab,0
LIP,LIP,A8aD,0.000796742
LIP,LIP,V4T,0.010114927
LIP,LIP,S2PV,0
LIP,LIP,AuML,0.001173709
LIP,LIP,AuRPB,0
LIP,LIP,ProSt,0.001173709
LIP,LIP,V3A,0.041076487
LIP,LIP,FST,0.000885269
LIP,LIP,PEC,0
LIP,LIP,A14C,0
LIP,LIP,A31,0.000177054
LIP,LIP,A30,0.016734496
LIP,LIP,A36,0
LIP,LIP,A35,0
LIP,LIP,TEO,0.003983711
LIP,LIP,A14R,0
LIP,LIP,ProM,0
LIP,LIP,AuR,0
LIP,LIP,A29a-c,0.054627339
LIP,LIP,V6,0.00973796
LIP,LIP,A6DR,0.014084507
LIP,LIP,A6DC,0.001173709
LIP,LIP,TE1,0
LIP,LIP,TE2,8.85E-05
LIP,LIP,TE3,0.01746557
LIP,LIP,TLO,0.014918239
LIP,LIP,A8b,0
LIP,LIP,PFG,0.014084507
LIP,LIP,A46V,0
LIP,LIP,A3b,0
LIP,LIP,A3a,0
LIP,LIP,A46D,0
LIP,LIP,DI,0
LIP,LIP,MST,0.013681772
LIP,LIP,AIP,0.00713078
